# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
52744.19226788579  0.01234953704  -2.36553e+00  1.87235e+00  0.14414
52744.21904450616  0.01232060185  6.00072e+00  2.72367e+00  0.08155
52744.24612783949  0.01248263889  1.26775e+00  2.79313e+00  0.07570
52744.32266140431  0.00358796296  7.64083e-01  4.16282e+00  0.11147
52744.33866256171  0.01103587963  2.38291e-01  2.32678e+00  0.11398
52744.37816487653  0.01008680556  -1.62874e+00  2.11596e+00  0.14459
52744.39970422838  0.00924189815  -3.99720e+00  2.23666e+00  0.13807
52744.42210006171  0.00928819444  -3.29010e+00  2.32759e+00  0.12911
52744.45028871912  0.01511574074  -4.61728e-01  2.10415e+00  0.10287
52744.51062436727  0.04329861111  -1.41286e+00  2.10213e+00  0.04161
52744.56137089505  0.00467013889  4.61546e+00  2.51039e+00  0.21074
52744.57683964504  0.00870370370  1.29002e-01  1.74576e+00  0.22541
52744.61182228394  0.01017939815  1.29002e-01  1.80676e+00  0.18511
52744.63396927468  0.01013888889  2.67326e+00  1.93196e+00  0.16403
52744.65544496912  0.00924189815  -1.89370e-01  2.28892e+00  0.13512
52744.67786395060  0.00928819444  -6.07135e+00  2.88590e+00  0.08749
52744.69998200615  0.00928819444  -3.23611e+00  2.78144e+00  0.09485
52744.73096580245  0.01789930556  1.41701e+00  1.59162e+00  0.14506
52744.76204219135  0.00928819444  3.95646e-01  1.95137e+00  0.18041
52744.78439172838  0.00928819444  6.15055e-01  1.83393e+00  0.20415
52744.80675283949  0.00928819444  3.66143e+00  1.69728e+00  0.24561
52744.82906186727  0.00925925926  2.19344e-01  1.59727e+00  0.27003
52744.85144033949  0.00928819444  -1.65631e+00  1.65908e+00  0.25673
52744.87369728393  0.00921875000  4.40089e+00  1.94132e+00  0.18560
52744.89609890430  0.00929398148  -5.03176e-01  2.38834e+00  0.12319
52744.91888825616  0.01019675926  -2.40482e+00  2.03592e+00  0.15804
52744.94029450616  0.00927662037  -8.48509e-01  1.70263e+00  0.22364
52744.96350631171  0.01015046296  6.62372e-01  1.54946e+00  0.26104
52744.98578061727  0.01022569444  -2.14434e+00  1.47462e+00  0.27229
52745.00809543208  0.01017939815  1.54562e-01  1.60126e+00  0.22387
52745.02953061727  0.00924189815  1.09512e+00  1.76218e+00  0.20005
52745.05185700615  0.00920717593  -1.93007e+00  2.02165e+00  0.16338
52745.07517876542  0.01016782407  -3.98548e+00  2.35064e+00  0.11190
52745.09616256171  0.00926504630  4.17413e+00  2.10928e+00  0.14494
52745.11854682097  0.00928819444  -1.12630e+00  1.78953e+00  0.19676
52745.14083848764  0.00921875000  2.86513e+00  1.66996e+00  0.23266
52745.16325746912  0.00928819444  3.81327e+00  1.61650e+00  0.25630
52745.18639404319  0.01008680556  2.72969e+00  1.45080e+00  0.30234
52745.20862205245  0.01010416667  1.73045e-01  1.40814e+00  0.29751
52745.23096580245  0.01022569444  3.01609e+00  1.56422e+00  0.24215
52745.25303756171  0.01008680556  3.15887e+00  1.89365e+00  0.16895
52745.27433385801  0.00924189815  3.50182e-01  2.03302e+00  0.17053
